"first","cdindex","mktsize","N","M","p","cdid","obsweight","numlist","condition","localint","popular","basecond","pdif","conditiondif","disappear",
,,,,,1.92,217,1,29,3,0,0,3,0.3,0,0,
,,,,,2.49,217,1,29,3,0,0,3,0.87,0,0,
,,,,,4.45,217,1,29,6,0,0,3,2.83,3,0,
,,,,,7.93,217,1,29,4,0,0,3,6.31,1,0.5,
,,,,,8.13,217,1,29,7,0,0,3,6.51,4,0.5,
,,,,,5.95,217,1,29,4,0,0,3,4.33,1,0,
,,,,,7.2,217,1,29,7,0,0,3,5.58,4,0,
,,,,,1.95,217,1,29,2,0,0,3,0.33,-1,0,
,,,,,2.99,217,1,29,3,0,0,3,1.37,0,0,
,,,,,7.93,217,1,29,5,0,0,3,6.31,2,0.5,
,,,,,8.03,217,1,29,7,0,0,3,6.41,4,0.5,
,,,,,7.93,217,1,29,5,0,0,3,6.31,2,0.5,
,,,,,8.03,217,1,29,7,0,0,3,6.41,4,0.5,
,,,,,1.95,217,1,29,3,0,0,3,0.33,0,0.5,
,,,,,2.45,217,1,29,3,0,0,3,0.83,0,0,
,,,,,5.98,217,1,29,3,0,0,3,4.36,0,0,
,,,,,16.37,219,1,34,7,0,0,4,14.42,3,0.5,
,,,,,1.95,219,1,34,3,0,0,4,0,-1,0,
,,,,,3,219,1,34,3,0,0,4,1.05,-1,0,
,,,,,7.19,219,1,34,2,0,0,4,5.24,-2,0,
,,,,,11.5,219,1,34,5,0,0,4,9.55,1,0,
,,,,,1.95,219,1,34,4,0,0,4,0,0,1,
,,,,,10.5,219,1,34,6,0,0,4,8.55,2,0,
,,,,,7,219,1,34,5,0,0,4,5.05,1,0,
,,,,,2.5,219,1,34,4,0,0,4,0.55,0,0.5,
,,,,,2.5,219,1,34,4,0,0,4,0.55,0,0.5,
,,,,,8.5,219,1,34,3,0,0,4,6.55,-1,0,
,,,,,4.7,219,1,34,3,0,0,4,2.75,-1,0,
,,,,,5.25,219,1,34,5,0,0,4,3.3,1,0.5,
,,,,,1.95,219,1,34,3,0,0,4,0,-1,0,
,,,,,2.98,219,1,34,3,0,0,4,1.03,-1,0,
,,,,,4.71,219,1,34,4,0,0,4,2.76,0,1,
,,,,,8,219,1,34,4,0,0,4,6.05,0,0,
,,,,,4.99,219,1,34,4,0,0,4,3.04,0,0,
,,,,,1.95,219,1,34,4,0,0,4,0,0,0,
,,,,,2.45,219,1,34,4,0,0,4,0.5,0,0,
,,,,,16,219,1,34,5,0,0,4,14.05,1,0,
,,,,,5.7,222,1,18,3,0,0,4,3.75,-1,0,
,,,,,36.99,222,1,18,5,0,0,4,35.04,1,0,
,,,,,6,222,1,18,6,0,0,4,4.05,2,0,
,,,,,1.95,222,1,18,2,0,0,4,0,-2,1,
,,,,,7.49,222,1,18,4,0,0,4,5.54,0,0,
,,,,,7,222,1,18,3,0,0,4,5.05,-1,0,
,,,,,2.95,222,1,18,3,0,0,4,1,-1,0,
,,,,,7,222,1,18,3,0,0,4,5.05,-1,0,
,,,,,4.45,222,1,18,4,0,0,4,2.5,0,0,
,,,,,1.95,222,1,18,2,0,0,4,0,-2,0,
,,,,,1.95,222,1,18,4,0,0,4,0,0,0,
,,,,,4.71,222,1,18,3,0,0,4,2.76,-1,0,
,,,,,4.71,222,1,18,4,0,0,4,2.76,0,0,
,,,,,2,222,1,18,4,0,0,4,0.05,0,0,
,,,,,4.99,222,1,18,3,0,0,4,3.04,-1,0,
,,,,,14.56,222,1,18,4,0,0,4,12.61,0,0,
,,,,,25.13,225,1,10,7,0,0,3,18.38,4,0,
,,,,,19.61,225,1,10,7,0,0,3,12.86,4,0.5,
,,,,,15.45,225,1,10,7,0,0,3,8.7,4,0.5,
,,,,,7.29,225,1,10,5,0,0,3,0.54,2,0,
,,,,,9.61,225,1,10,7,0,0,3,2.86,4,0,
,,,,,7.48,225,1,10,5,0,0,3,0.73,2,0.5,
,,,,,6.75,225,1,10,3,0,0,3,0,0,0,
,,,,,14.98,226,1,27,4,0,0,4,13.03,0,0,
,,,,,27.47,226,1,27,4,0,0,4,25.52,0,1,
,,,,,3.98,226,1,27,3,0,0,4,2.03,-1,0,
,,,,,1.95,226,1,27,3,0,0,4,0,-1,0,
,,,,,22.5,226,1,27,5,0,0,4,20.55,1,0,
,,,,,3.94,226,1,27,3,0,0,4,1.99,-1,0,
,,,,,18.5,226,1,27,4,0,0,4,16.55,0,0,
,,,,,14.5,226,1,27,6,0,0,4,12.55,2,0,
,,,,,2.69,226,1,27,4,0,0,4,0.74,0,0,
,,,,,6.5,226,1,27,5,0,0,4,4.55,1,0,
,,,,,3.48,226,1,27,4,0,0,4,1.53,0,0,
,,,,,1.95,226,1,27,4,0,0,4,0,0,0,
,,,,,1.95,226,1,27,2,0,0,4,0,-2,1,
,,,,,1.95,226,1,27,3,0,0,4,0,-1,0,
,,,,,23,226,1,27,4,0,0,4,21.05,0,0,
,,,,,32,226,1,27,5,0,0,4,30.05,1,0,
,,,,,37.25,226,1,27,4,0,0,4,35.3,0,0,
,,,,,24.5,226,1,27,4,0,0,4,22.55,0,0,
,,,,,3.95,226,1,27,3,0,0,4,2,-1,0,
,,,,,5.99,226,1,27,5,0,0,4,4.04,1,0,
,,,,,1.95,226,1,27,4,0,0,4,0,0,0,
,,,,,2,226,1,27,3,0,0,4,0.05,-1,1,
,,,,,2.98,226,1,27,3,0,0,4,1.03,-1,0,
,,,,,2.49,226,1,27,3,0,0,4,0.54,-1,0,
,,,,,48,226,1,27,4,0,0,4,46.05,0,0,
,,,,,16.5,226,1,27,4,0,0,4,14.55,0,0,
,,,,,5.99,226,1,27,3,0,0,4,4.04,-1,0,
,,,,,7.94,226,1,27,5,0,0,4,5.99,1,0,
,,,,,1.95,226,1,27,4,0,0,4,0,0,0,
,,,,,38.5,226,1,27,5,0,0,4,36.55,1,0,
,,,,,11.5,226,1,27,4,0,0,4,9.55,0,0,
,,,,,4.68,227,1,4,3,0,0,3,2.73,0,0,
,,,,,1.95,227,1,4,3,0,0,3,0,0,0,
,,,,,5.86,227,1,4,5,0,0,3,3.91,2,0,
,,,,,5.25,227,1,4,4,0,0,3,3.3,1,0,
,,,,,1.95,227,1,4,3,0,0,3,0,0,0,
,,,,,5,227,1,4,3,0,0,3,3.05,0,0,
,,,,,10,230,1,25,4,0,0,4,8.05,0,0,
,,,,,3.42,230,1,25,7,0,0,4,1.47,3,0,
,,,,,1.95,230,1,25,3,0,0,4,0,-1,0,
,,,,,5.57,230,1,25,5,0,0,4,3.62,1,0.5,
,,,,,6.18,230,1,25,7,0,0,4,4.23,3,0.5,
,,,,,12,230,1,25,4,0,0,4,10.05,0,0,
,,,,,1.95,230,1,25,3,0,0,4,0,-1,0,
,,,,,20.5,230,1,25,5,0,0,4,18.55,1,0,
,,,,,4,230,1,25,3,0,0,4,2.05,-1,1,
,,,,,1.95,230,1,25,3,0,0,4,0,-1,1,
,,,,,6.48,230,1,25,7,0,0,4,4.53,3,0.5,
,,,,,9,230,1,25,4,0,0,4,7.05,0,0.5,
,,,,,1.95,230,1,25,3,0,0,4,0,-1,1,
,,,,,11,230,1,25,7,0,0,4,9.05,3,0,
,,,,,1.95,230,1,25,2,0,0,4,0,-2,1,
,,,,,4.99,230,1,25,5,0,0,4,3.04,1,0.5,
,,,,,5.99,230,1,25,4,0,0,4,4.04,0,0,
,,,,,1.95,230,1,25,2,0,0,4,0,-2,0,
,,,,,1.95,230,1,25,4,0,0,4,0,0,0,
,,,,,3.32,230,1,25,7,0,0,4,1.37,3,0,
,,,,,11.94,231,1,15,5,0,0,2,9.99,3,0,
,,,,,1.95,231,1,15,2,0,0,2,0,0,1,
,,,,,6.93,231,1,15,3,0,0,2,4.98,1,0,
,,,,,6.49,231,1,15,3,0,0,2,4.54,1,0,
,,,,,2.99,231,1,15,5,0,0,2,1.04,3,0,
,,,,,11.44,231,1,15,3,0,0,2,9.49,1,1,
,,,,,4.98,231,1,15,3,0,0,2,3.03,1,0,
,,,,,10.95,231,1,15,5,0,0,2,9,3,0,
,,,,,46.34,233,1,21,4,0,0,3,38.51,1,0,
,,,,,13.99,233,1,21,4,0,0,3,6.16,1,0,
,,,,,33.24,233,1,21,7,0,0,3,25.41,4,0,
,,,,,23.42,233,1,21,3,0,0,3,15.59,0,0,
,,,,,27.44,233,1,21,7,0,0,3,19.61,4,0.5,
,,,,,22.5,233,1,21,4,0,0,3,14.67,1,0,
,,,,,25.6,233,1,21,4,0,0,3,17.77,1,1,
,,,,,8.76,233,1,21,3,0,0,3,0.93,0,1,
,,,,,7.83,233,1,21,3,0,0,3,0,0,1,
,,,,,16,233,1,21,4,0,0,3,8.17,1,0,
,,,,,28.14,233,1,21,7,0,0,3,20.31,4,1,
,,,,,1.72,235,1,35,5,0,0,3,0.08,2,1,
,,,,,7,235,1,35,4,0,0,3,5.36,1,0,
,,,,,9.49,235,1,35,4,0,0,3,7.85,1,0,
,,,,,1.64,235,1,35,3,0,0,3,0,0,1,
,,,,,7.98,235,1,35,3,0,0,3,6.34,0,1,
,,,,,23.6,235,1,35,4,0,0,3,21.96,1,0,
,,,,,1.95,235,1,35,3,0,0,3,0.31,0,0,
,,,,,1.95,235,1,35,4,0,0,3,0.31,1,1,
,,,,,9.5,235,1,35,3,0,0,3,7.86,0,0,
,,,,,37,235,1,35,5,0,0,3,35.36,2,0,
,,,,,7.5,235,1,35,4,0,0,3,5.86,1,0.5,
,,,,,7.5,235,1,35,4,0,0,3,5.86,1,0.5,
,,,,,7.5,235,1,35,4,0,0,3,5.86,1,0,
,,,,,8.5,235,1,35,4,0,0,3,6.86,1,0.5,
,,,,,2.99,235,1,35,4,0,0,3,1.35,1,0.5,
,,,,,2.99,235,1,35,4,0,0,3,1.35,1,0.5,
,,,,,9.47,235,1,35,3,0,0,3,7.83,0,0,
,,,,,9.5,235,1,35,4,0,0,3,7.86,1,1,
,,,,,16,235,1,35,4,0,0,3,14.36,1,0,
,,,,,34.99,235,1,35,7,0,0,3,33.35,4,0,
,,,,,4.19,235,1,35,3,0,0,3,2.55,0,1,
,,,,,13.5,235,1,35,5,0,0,3,11.86,2,0,
,,,,,9.5,235,1,35,4,0,0,3,7.86,1,0,
,,,,,26.95,235,1,35,4,0,0,3,25.31,1,0,
,,,,,1.92,235,1,35,3,0,0,3,0.28,0,1,
,,,,,5.5,235,1,35,3,0,0,3,3.86,0,0,
,,,,,11.12,235,1,35,3,0,0,3,9.48,0,0,
,,,,,1.95,237,1,31,3,0,0,4,0.32,-1,0,
,,,,,6,237,1,31,4,0,0,4,4.37,0,0,
,,,,,2.9,237,1,31,4,0,0,4,1.27,0,0,
,,,,,1.72,237,1,31,4,0,0,4,0.09,0,1,
,,,,,10.95,237,1,31,5,0,0,4,9.32,1,0,
,,,,,1.95,237,1,31,3,0,0,4,0.32,-1,0,
,,,,,10.51,237,1,31,7,0,0,4,8.88,3,0,
,,,,,3.94,237,1,31,7,0,0,4,2.31,3,0,
,,,,,6.45,237,1,31,5,0,0,4,4.82,1,0,
,,,,,13,237,1,31,4,0,0,4,11.37,0,0.5,
,,,,,13,237,1,31,4,0,0,4,11.37,0,0.5,
,,,,,1.64,237,1,31,4,0,0,4,0.01,0,1,
,,,,,1.95,237,1,31,2,0,0,4,0.32,-2,1,
,,,,,1.95,237,1,31,6,0,0,4,0.32,2,0,
,,,,,10,237,1,31,4,0,0,4,8.37,0,0,
,,,,,1.63,237,1,31,4,0,0,4,0,0,1,
,,,,,8.99,237,1,31,4,0,0,4,7.36,0,0,
,,,,,20.25,237,1,31,7,0,0,4,18.62,3,0,
,,,,,7.5,237,1,31,4,0,0,4,5.87,0,0,
,,,,,15.98,237,1,31,5,0,0,4,14.35,1,0,
,,,,,9.5,237,1,31,3,0,0,4,7.87,-1,0,
,,,,,4,237,1,31,4,0,0,4,2.37,0,0,
,,,,,1.95,237,1,31,3,0,0,4,0.32,-1,0,
,,,,,3.95,237,1,31,3,0,0,4,2.32,-1,0.5,
,,,,,29.5,237,1,31,4,0,0,4,27.87,0,1,
,,,,,14.75,237,1,31,6,0,0,4,13.12,2,0,
,,,,,1.95,237,1,31,4,0,0,4,0.32,0,1,
,,,,,1.95,237,1,31,6,0,0,4,0.32,2,0,
,,,,,4.71,237,1,31,4,0,0,4,3.08,0,0,
,,,,,1.92,237,1,31,4,0,0,4,0.29,0,1,
,,,,,1.95,237,1,31,3,0,0,4,0.32,-1,0,
,,,,,1.95,237,1,31,4,0,0,4,0.32,0,1,
,,,,,2.45,237,1,31,2,0,0,4,0.82,-2,0,
,,,,,6.49,238,1,5,3,0,0,3,3.07,0,0.5,
,,,,,3.42,238,1,5,3,0,0,3,0,0,0.5,
,,,,,5.94,239,1,43,5,0,0,3,4.45,2,0,
,,,,,4.92,239,1,43,4,0,0,3,3.43,1,0,
,,,,,4,239,1,43,5,0,0,3,2.51,2,0,
,,,,,6.49,239,1,43,4,0,0,3,5,1,0,
,,,,,1.95,239,1,43,2,0,0,3,0.46,-1,0,
,,,,,1.69,239,1,43,4,0,0,3,0.2,1,1,
,,,,,5.49,239,1,43,3,0,0,3,4,0,0.5,
,,,,,7.96,239,1,43,7,0,0,3,6.47,4,0,
,,,,,1.95,239,1,43,3,0,0,3,0.46,0,0,
,,,,,1.95,239,1,43,4,0,0,3,0.46,1,0,
,,,,,8.37,239,1,43,7,0,0,3,6.88,4,0,
,,,,,3.25,239,1,43,2,0,0,3,1.76,-1,0,
,,,,,10.46,239,1,43,4,0,0,3,8.97,1,0.5,
,,,,,7.83,239,1,43,4,0,0,3,6.34,1,0.5,
,,,,,8.03,239,1,43,7,0,0,3,6.54,4,0.5,
,,,,,2.99,239,1,43,2,0,0,3,1.5,-1,0,
,,,,,5.58,239,1,43,7,0,0,3,4.09,4,0.5,
,,,,,1.95,239,1,43,6,0,0,3,0.46,3,0,
,,,,,3.99,239,1,43,2,0,0,3,2.5,-1,1,
,,,,,1.95,239,1,43,3,0,0,3,0.46,0,1,
,,,,,1.95,239,1,43,4,0,0,3,0.46,1,0,
,,,,,5.94,239,1,43,4,0,0,3,4.45,1,0,
,,,,,6.19,239,1,43,5,0,0,3,4.7,2,0,
,,,,,4.7,239,1,43,4,0,0,3,3.21,1,1,
,,,,,9.99,239,1,43,7,0,0,3,8.5,4,0.5,
,,,,,9.18,239,1,43,7,0,0,3,7.69,4,0.5,
,,,,,5.49,239,1,43,4,0,0,3,4,1,0,
,,,,,1.95,239,1,43,6,0,0,3,0.46,3,0,
,,,,,2.99,239,1,43,5,0,0,3,1.5,2,0,
,,,,,3.95,239,1,43,3,0,0,3,2.46,0,0.5,
,,,,,3,239,1,43,5,0,0,3,1.51,2,0,
,,,,,25,239,1,43,7,0,0,3,23.51,4,0,
,,,,,5.17,239,1,43,7,0,0,3,3.68,4,0.5,
,,,,,4.79,239,1,43,4,0,0,3,3.3,1,1,
,,,,,4.95,239,1,43,7,0,0,3,3.46,4,0,
,,,,,2.99,239,1,43,3,0,0,3,1.5,0,1,
,,,,,1.95,239,1,43,3,0,0,3,0.46,0,1,
,,,,,1.95,239,1,43,4,0,0,3,0.46,1,0,
,,,,,1.95,239,1,43,2,0,0,3,0.46,-1,1,
,,,,,1.95,239,1,43,3,0,0,3,0.46,0,0,
,,,,,1.49,239,1,43,3,0,0,3,0,0,0,
,,,,,4.71,239,1,43,4,0,0,3,3.22,1,0,
,,,,,5.49,239,1,43,7,0,0,3,4,4,1,
,,,,,2.49,239,1,43,3,0,0,3,1,0,0,
,,,,,7.93,239,1,43,4,0,0,3,6.44,1,0.5,
,,,,,8.13,239,1,43,7,0,0,3,6.64,4,0.5,
,,,,,6.94,239,1,43,4,0,0,3,5.45,1,0,
,,,,,10,239,1,43,4,0,0,3,8.51,1,0,
,,,,,7.93,239,1,43,5,0,0,3,6.44,2,0.5,
,,,,,8.03,239,1,43,7,0,0,3,6.54,4,0.5,
,,,,,7.93,239,1,43,5,0,0,3,6.44,2,0.5,
,,,,,8.03,239,1,43,7,0,0,3,6.54,4,0.5,
,,,,,8.99,239,1,43,4,0,0,3,7.5,1,0,
,,,,,1.95,239,1,43,2,0,0,3,0.46,-1,1,
,,,,,1.95,239,1,43,3,0,0,3,0.46,0,0,
,,,,,2.45,239,1,43,3,0,0,3,0.96,0,0.5,
,,,,,2.45,239,1,43,3,0,0,3,0.96,0,0.5,
,,,,,1.95,240,1,7,2,0,0,2,0,0,0,
,,,,,30.47,240,1,7,7,0,0,2,28.52,5,0,
,,,,,1.95,240,1,7,2,0,0,2,0,0,0,
,,,,,7.98,240,1,7,7,0,0,2,6.03,5,1,
,,,,,13.6,240,1,7,4,0,0,2,11.65,2,0,
,,,,,8,240,1,7,6,0,0,2,6.05,4,0.5,
,,,,,3.78,240,1,7,3,0,0,2,1.83,1,0,
,,,,,7.06,240,1,7,7,0,0,2,5.11,5,0,
,,,,,9.74,243,1,7,3,0,0,5,1.24,-2,0,
,,,,,8.5,243,1,7,4,0,0,5,0,-1,0,
,,,,,8.5,243,1,7,5,0,0,5,0,0,0,
,,,,,3.87,247,1,15,7,0,0,4,2.24,3,1,
,,,,,11.29,247,1,15,7,0,0,4,9.66,3,0.5,
,,,,,11.92,247,1,15,7,0,0,4,10.29,3,0,
,,,,,7.46,247,1,15,7,0,0,4,5.83,3,0,
,,,,,11.78,247,1,15,4,0,0,4,10.15,0,0.5,
,,,,,11.16,247,1,15,4,0,0,4,9.53,0,0.5,
,,,,,11.45,247,1,15,7,0,0,4,9.82,3,0.5,
,,,,,3,247,1,15,4,0,0,4,1.37,0,0,
,,,,,12.22,247,1,15,7,0,0,4,10.59,3,0.5,
,,,,,3.67,247,1,15,4,0,0,4,2.04,0,0,
,,,,,6.99,247,1,15,5,0,0,4,5.36,1,0,
,,,,,1.64,247,1,15,4,0,0,4,0.01,0,1,
,,,,,1.63,247,1,15,4,0,0,4,0,0,1,
,,,,,8.74,247,1,15,7,0,0,4,7.11,3,0,
,,,,,4.99,247,1,15,4,0,0,4,3.36,0,0,
,,,,,3.95,247,1,15,3,0,0,4,2.32,-1,0,
,,,,,2.61,247,1,15,4,0,0,4,0.98,0,1,
,,,,,8.23,247,1,15,7,0,0,4,6.6,3,0.5,
,,,,,4.44,247,1,15,5,0,0,4,2.81,1,0,
,,,,,1.95,247,1,15,3,0,0,4,0.32,-1,0,
,,,,,1.92,247,1,15,4,0,0,4,0.29,0,1,
,,,,,11.26,247,1,15,4,0,0,4,9.63,0,0.5,
,,,,,11.55,247,1,15,7,0,0,4,9.92,3,0.5,
,,,,,11.31,247,1,15,5,0,0,4,9.68,1,0.5,
,,,,,11.45,247,1,15,7,0,0,4,9.82,3,0.5,
,,,,,11.31,247,1,15,5,0,0,4,9.68,1,0.5,
,,,,,11.45,247,1,15,7,0,0,4,9.82,3,0.5,
,,,,,1.95,247,1,15,4,0,0,4,0.32,0,1,
,,,,,3.75,249,1,20,5,0,0,3,1.8,2,0,
,,,,,10.99,249,1,20,3,0,0,3,9.04,0,0,
,,,,,20.99,249,1,20,6,0,0,3,19.04,3,0,
,,,,,11.85,249,1,20,4,0,0,3,9.9,1,0,
,,,,,22.5,249,1,20,5,0,0,3,20.55,2,0,
,,,,,8,249,1,20,4,0,0,3,6.05,1,0,
,,,,,7.3,249,1,20,3,0,0,3,5.35,0,1,
,,,,,3.96,249,1,20,3,0,0,3,2.01,0,0,
,,,,,6.5,249,1,20,4,0,0,3,4.55,1,0,
,,,,,2.99,249,1,20,4,0,0,3,1.04,1,0,
,,,,,11.47,249,1,20,3,0,0,3,9.52,0,0,
,,,,,29.5,249,1,20,4,0,0,3,27.55,1,1,
,,,,,5.99,249,1,20,3,0,0,3,4.04,0,0,
,,,,,4.71,249,1,20,3,0,0,3,2.76,0,1,
,,,,,1.95,249,1,20,2,0,0,3,0,-1,0,
,,,,,1.95,249,1,20,3,0,0,3,0,0,0,
,,,,,3,249,1,20,3,0,0,3,1.05,0,1,
,,,,,16.77,250,1,47,4,0,0,3,14.82,1,0,
,,,,,15.5,250,1,47,4,0,0,3,13.55,1,1,
,,,,,5.08,250,1,47,4,0,0,3,3.13,1,0,
,,,,,9.49,250,1,47,3,0,0,3,7.54,0,0,
,,,,,1.95,250,1,47,2,0,0,3,0,-1,1,
,,,,,7,250,1,47,4,0,0,3,5.05,1,0,
,,,,,1.95,250,1,47,3,0,0,3,0,0,1,
,,,,,2.71,250,1,47,3,0,0,3,0.76,0,0,
,,,,,5.98,250,1,47,3,0,0,3,4.03,0,1,
,,,,,14.95,250,1,47,7,0,0,3,13,4,1,
,,,,,8.19,250,1,47,3,0,0,3,6.24,0,1,
,,,,,15.45,250,1,47,4,0,0,3,13.5,1,1,
,,,,,5.66,250,1,47,3,0,0,3,3.71,0,1,
,,,,,3.98,250,1,47,2,0,0,3,2.03,-1,1,
,,,,,4.25,250,1,47,3,0,0,3,2.3,0,0,
,,,,,7.85,250,1,47,4,0,0,3,5.9,1,0.5,
,,,,,9.85,250,1,47,4,0,0,3,7.9,1,0.5,
,,,,,9.85,250,1,47,4,0,0,3,7.9,1,0.5,
,,,,,12.85,250,1,47,4,0,0,3,10.9,1,0.5,
,,,,,17.85,250,1,47,5,0,0,3,15.9,2,0,
,,,,,47,250,1,47,5,0,0,3,45.05,2,0,
,,,,,6.98,250,1,47,4,0,0,3,5.03,1,0,
,,,,,1.95,250,1,47,3,0,0,3,0,0,0,
,,,,,9.44,250,1,47,5,0,0,3,7.49,2,1,
,,,,,12.24,250,1,47,4,0,0,3,10.29,1,0,
,,,,,23.23,250,1,47,3,0,0,3,21.28,0,1,
,,,,,37.25,250,1,47,5,0,0,3,35.3,2,0,
,,,,,22.25,250,1,47,4,0,0,3,20.3,1,0,
,,,,,16,250,1,47,4,0,0,3,14.05,1,1,
,,,,,3.84,250,1,47,5,0,0,3,1.89,2,1,
,,,,,29.5,250,1,47,3,0,0,3,27.55,0,1,
,,,,,4.24,250,1,47,4,0,0,3,2.29,1,0,
,,,,,5,250,1,47,1,0,0,3,3.05,-2,0,
,,,,,6.15,250,1,47,3,0,0,3,4.2,0,1,
,,,,,2.98,250,1,47,3,0,0,3,1.03,0,0.5,
,,,,,10.37,250,1,47,3,0,0,3,8.42,0,0.5,
,,,,,12,250,1,47,4,0,0,3,10.05,1,0,
,,,,,5.5,250,1,47,3,0,0,3,3.55,0,0.5,
,,,,,8.5,250,1,47,3,0,0,3,6.55,0,0.5,
,,,,,8.5,250,1,47,3,0,0,3,6.55,0,0.5,
,,,,,17.25,250,1,47,4,0,0,3,15.3,1,0,
,,,,,3.7,250,1,47,2,0,0,3,1.75,-1,0,
,,,,,23.2,250,1,47,4,0,0,3,21.25,1,0,
,,,,,5.5,250,1,47,3,0,0,3,3.55,0,0,
,,,,,5,251,1,20,5,0,0,4,3.05,1,0.5,
,,,,,16.99,251,1,20,3,0,0,4,15.04,-1,0,
,,,,,14.07,251,1,20,7,0,0,4,12.12,3,0.5,
,,,,,28.99,251,1,20,7,0,0,4,27.04,3,0.5,
,,,,,34.08,251,1,20,7,0,0,4,32.13,3,0.5,
,,,,,7,251,1,20,4,0,0,4,5.05,0,1,
,,,,,5.98,251,1,20,3,0,0,4,4.03,-1,1,
,,,,,21.95,251,1,20,7,0,0,4,20,3,0.5,
,,,,,7.98,251,1,20,4,0,0,4,6.03,0,0,
,,,,,10.85,251,1,20,5,0,0,4,8.9,1,0,
,,,,,16.88,251,1,20,3,0,0,4,14.93,-1,0,
,,,,,2.99,251,1,20,4,0,0,4,1.04,0,0,
,,,,,1.95,251,1,20,4,0,0,4,0,0,0,
,,,,,16.49,251,1,20,5,0,0,4,14.54,1,0,
,,,,,3.95,251,1,20,3,0,0,4,2,-1,0,
,,,,,16.8,251,1,20,4,0,0,4,14.85,0,0,
,,,,,29.5,251,1,20,3,0,0,4,27.55,-1,1,
,,,,,13.5,251,1,20,5,0,0,4,11.55,1,0,
,,,,,8.99,251,1,20,5,0,0,4,7.04,1,1,
,,,,,5.5,251,1,20,5,0,0,4,3.55,1,0.5,
,,,,,1.95,254,1,4,2,0,0,4,0,-2,1,
,,,,,1.95,254,1,4,3,0,0,4,0,-1,1,
,,,,,1.95,254,1,4,3,0,0,4,0,-1,0,
,,,,,1.95,254,1,4,3,0,0,4,0,-1,1,
,,,,,2.05,254,1,4,4,0,0,4,0.1,0,0,
,,,,,1.95,254,1,4,2,0,0,4,0,-2,1,
,,,,,1.95,254,1,4,4,0,0,4,0,0,1,
,,,,,1.95,257,1,11,2,0,0,4,0,-2,1,
,,,,,2.99,257,1,11,3,0,0,4,1.04,-1,0,
,,,,,1.95,257,1,11,2,0,0,4,0,-2,0,
,,,,,1.95,257,1,11,2,0,0,4,0,-2,1,
,,,,,29.5,257,1,11,3,0,0,4,27.55,-1,0.5,
,,,,,29.5,257,1,11,3,0,0,4,27.55,-1,0.5,
,,,,,1.95,257,1,11,4,0,0,4,0,0,1,
,,,,,1.95,257,1,11,2,0,0,4,0,-2,1,
,,,,,5.5,257,1,11,2,0,0,4,3.55,-2,0,
,,,,,1.95,257,1,11,2,0,0,4,0,-2,0,
,,,,,2,259,5,48,5,0,0,3,0.51,2,0.5,
,,,,,6.49,259,5,48,3,0,0,3,5,0,0.5,
,,,,,3.88,259,5,48,4,0,0,3,2.39,1,0.5,
,,,,,4.24,259,5,48,3,0,0,3,2.75,0,0.5,
,,,,,5.93,259,5,48,3,0,0,3,4.44,0,0.5,
,,,,,1.69,259,1,48,4,0,0,3,0.2,1,0.5,
,,,,,4.5,259,5,48,4,0,0,3,3.01,1,0.5,
,,,,,2.75,259,5,48,3,0,0,3,1.26,0,0.5,
,,,,,1.72,259,1,48,5,0,0,3,0.23,2,0.5,
,,,,,1.72,259,1,48,5,0,0,3,0.23,2,0.5,
,,,,,1.95,259,1,48,3,0,0,3,0.46,0,0.5,
,,,,,1.95,259,5,48,3,0,0,3,0.46,0,0.5,
,,,,,1.95,259,1,48,4,0,0,3,0.46,1,0.5,
,,,,,1.95,259,1,48,4,0,0,3,0.46,1,0.5,
,,,,,6.59,259,5,48,7,0,0,3,5.1,4,0.5,
,,,,,11.23,259,5,48,7,0,0,3,9.74,4,0.5,
,,,,,24.49,259,5,48,7,0,0,3,23,4,0.5,
,,,,,31.58,259,5,48,7,0,0,3,30.09,4,0.5,
,,,,,6.74,259,5,48,4,0,0,3,5.25,1,0.5,
,,,,,10.24,259,5,48,4,0,0,3,8.75,1,0.5,
,,,,,3.25,259,5,48,2,0,0,3,1.76,-1,0.5,
,,,,,3.99,259,5,48,3,0,0,3,2.5,0,0.5,
,,,,,1.95,259,1,48,4,0,0,3,0.46,1,0.5,
,,,,,1.95,259,5,48,4,0,0,3,0.46,1,0.5,
,,,,,5.98,259,5,48,2,0,0,3,4.49,-1,0.5,
,,,,,6,259,5,48,4,0,0,3,4.51,1,0.5,
,,,,,1.64,259,1,48,3,0,0,3,0.15,0,0.5,
,,,,,1.64,259,1,48,3,0,0,3,0.15,0,0.5,
,,,,,1.64,259,1,48,3,0,0,3,0.15,0,0.5,
,,,,,2.99,259,5,48,4,0,0,3,1.5,1,0.5,
,,,,,1.63,259,1,48,3,0,0,3,0.14,0,0.5,
,,,,,1.63,259,1,48,3,0,0,3,0.14,0,0.5,
,,,,,1.95,259,1,48,3,0,0,3,0.46,0,0.5,
,,,,,1.95,259,1,48,3,0,0,3,0.46,0,0.5,
,,,,,1.95,259,1,48,4,0,0,3,0.46,1,0.5,
,,,,,1.95,259,1,48,6,0,0,3,0.46,3,0.5,
,,,,,1.95,259,1,48,2,0,0,3,0.46,-1,0.5,
,,,,,1.63,259,1,48,3,0,0,3,0.14,0,0.5,
,,,,,1.63,259,1,48,3,0,0,3,0.14,0,0.5,
,,,,,1.63,259,1,48,3,0,0,3,0.14,0,0.5,
